QP Code,Occupation,QP Name,NSQF Level,QP File
ISC/Q0102,Screen & Crusher Operator,Screen & Crusher Operator,3,https://nsdcindia.org/sites/default/files/QP_ISC-Q0102_Screen-n-Crusher-Operator.pdf
ISC/Q0201,Battery Operator,Battery Operator,5,https://nsdcindia.org/sites/default/files/QP_ISC-Q0201_Battery-Operator.pdf
ISC/Q0203,Heating Regulator,Heating Regulator,4,https://nsdcindia.org/sites/default/files/QP_ISC-Q0203_Heating-Regulator.pdf
ISC/Q0401,Mobile Equipment Operator,Mobile Equipment Operator,3,https://nsdcindia.org/sites/default/files/QP_ISC-Q0401_Mobile-Equipment-Operator.pdf
ISC/Q0402,Locomotive Driver,Locomotive Driver,4,https://nsdcindia.org/sites/default/files/QP_ISC-Q0402_Locomotive-Driver.pdf
ISC/Q0406,Cast House Junior Operator,Cast House Junior Operator,2,https://nsdcindia.org/sites/default/files/QP_ISC-Q0406_Cast-House-Junior-Operator.pdf
ISC/Q0407,Cast House Senior Operator,Cast House Senior Operator,4,https://nsdcindia.org/sites/default/files/QP_ISC-Q0407_Cast-House-Senior-Operator.pdf
ISC/Q0408,House Keeping with Mechanised Equipment,House Keeping with Mechanised Equipment,2,https://nsdcindia.org/sites/default/files/QP_ISC-Q0408_House-Keeping-with-Mechanised-Equipment.pdf
ISC/Q0409,Control Room Operator,Control Room Operator,5,https://nsdcindia.org/sites/default/files/QP_ISC-Q0409_Control-Room-Operator.pdf
ISC/Q0410,Iron & Steel: Utility Hand-Plant Operations,Iron & Steel: Utility Hand-Plant Operations,1,https://nsdcindia.org/sites/default/files/QP_ISC-Q0410_Iron-n-Steel-Utility-Hand-Plant-Operations_0.pdf
ISC/Q0701,Process Operator,Process Operator,5,https://nsdcindia.org/sites/default/files/QP_ISC-Q0701_Process-Operator-.pdf
ISC/Q0703,Fluid Management Operator: Rolling Mills,Fluid Management Operator: Rolling Mills,4,https://nsdcindia.org/sites/default/files/QP_ISC-Q0703_Fluid-Management-Operator-Rolling-Mills_0.pdf
ISC/Q0801,Laboratory Technician - Physical Analysis,Laboratory Technician - Physical Analysis,3,https://nsdcindia.org/sites/default/files/QP_ISC-Q0801_Laboratory-Technician-Physical-Analysis.pdf
ISC/Q0901,EOT/ Overhead crane operator,EOT/ Overhead crane operator,3,https://nsdcindia.org/sites/default/files/QP_ISC-Q0901_EOT-Overhead-crane-operator_0.pdf
ISC/Q0902,Conveyor operation and maintenance,Conveyor operation and maintenance,3,https://nsdcindia.org/sites/default/files/QP_ISC-Q0902_Conveyor-operation-and-maintenance.pdf
ISC/Q0903,Fitter : Hydraulic & Pneumatic System,Fitter : Hydraulic & Pneumatic System,4,https://nsdcindia.org/sites/default/files/QP_ISC-Q0903_Fitter-Hydraulic-n-Pneumatic-System_0.pdf
ISC/Q0904,Belt conveyor maintenance,Belt conveyor maintenance,3,https://nsdcindia.org/sites/default/files/QP_ISC-Q0904_Belt-conveyor-maintenance.pdf
ISC/Q0905,"Fitter : Levelling , alignment , balancing","Fitter : Levelling , alignment , balancing",3,https://nsdcindia.org/sites/default/files/QP_ISC-Q0905_Fitter-Levelling-alignment-balancing_0.pdf
ISC/Q0906,Bearing maintenance,Bearing maintenance,3,https://nsdcindia.org/sites/default/files/QP_ISC-Q0906_Bearing-maintenance.pdf
ISC/Q0907,Mobile equipment maintenance,Mobile equipment maintenance,3,https://nsdcindia.org/sites/default/files/QP_ISC-Q0907_Mobile-equipment-maintenance.pdf
ISC/Q0908,Rigger : Rigging of heavy material,Rigger : Rigging of heavy material,3,https://nsdcindia.org/sites/default/files/QP_ISC-Q0908_Rigger-Rigging-of-heavy-material_0.pdf
ISC/Q0909,Iron & Steel: Machinist,Iron & Steel: Machinist,3,https://nsdcindia.org/sites/default/files/QP_ISC-Q0909_Iron-n-Steel-Machinist_0.pdf
ISC/Q0910,Technician,Plasma Cutter - Manual,4,https://nsdcindia.org/sites/default/files/ISCQ0910_Plasma_cutter_Manual_v1_30_07_2019.pdf
ISC/Q0911,Gas Tungsten Arc Welding,Gas Tungsten Arc Welding,4,https://nsdcindia.org/sites/default/files/QP_ISC-Q0911_Gas-Tungsten-Arc-Welding.pdf
ISC/Q1001,Fitter Electrical Assembly,Fitter Electrical Assembly,3,https://nsdcindia.org/sites/default/files/ISC_Q1001_v1_1_04_2020.pdf
ISC/Q1101,Fitter Electronic Assembly,Fitter Electronic Assembly,3,https://nsdcindia.org/sites/default/files/QP_ISC-Q1101_Fitter-Electronic-Assembly.pdf
ISC/Q1102,Fitter - Instrumentation,Fitter - Instrumentation,3,https://nsdcindia.org/sites/default/files/QP_ISC-Q1102_Fitter-Instrumentation.pdf
ISC/Q1201,Refractory Bricks Layer,Refractory Bricks Layer,3,https://nsdcindia.org/sites/default/files/QP_ISC-Q1201_Refractory-Bricks-Layer.pdf
National Occupational Standards -Indian Iron and Steel Sector Skill Council,National Occupational Standards -Indian Iron and Steel Sector Skill Council,National Occupational Standards -Indian Iron and Steel Sector Skill Council,National Occupational Standards -Indian Iron and Steel Sector Skill Council,National Occupational Standards -Indian Iron and Steel Sector Skill Council
